time,y_test,y_pred,all
2019-03-08 03:00:00,03003KT 340V080 CAVOK 07/06 Q1021 NOSIG,02009kt 350v060 cavok 10 06 q1021 nosig,36011kt 9999 prec0n CL0 CM0 08 06 q1021 02009kt 350v060 cavok 10 06 q1021 nosig q1029 fg bkn005 ovc017
2022-06-09 18:00:00,28009KT CAVOK 22/17 Q1020 NOSIG,28009kt 240v300 cavok 22 13 q1021 nosig,28011kt 9999 prec0n CL0 CM0 20 13 q1021 28009kt 240v300 cavok 22 13 q1021 nosig nosig nosig 2000 ra
2019-05-11 10:00:00,01007KT 340V070 9999 FEW030 16/10 Q1024 NOSIG,vrb02kt cavok 16 10 q1025 nosig,02005kt 9999 prec0n CL0 CM0 17 08 q1026 vrb02kt cavok 16 10 q1025 nosig q1025 nosig 2000 bcfg vv001
2021-09-17 06:00:00,25002KT CAVOK 14/13 Q1018 NOSIG,00000kt cavok 14 12 q1018 nosig,20001kt 9999 prec0n CL0 CM0 12 11 q1018 00000kt cavok 14 12 q1018 nosig q1016 nosig q1019 3000 ra
2022-08-24 19:00:00,36007KT 330V080 9999 SCT020 BKN035 23/19 Q1016 NOSIG,27009kt 240v320 cavok 23 18 q1014 nosig,28009kt 9999 prec0n CL0 CM0 20 19 q1015 27009kt 240v320 cavok 23 18 q1014 nosig q1014 nosig 0800 fg
2022-04-23 22:00:00,21006KT 9999 SCT033 BKN050 10/08 Q1010 NOSIG,23005kt 9999 few036 09 08 q1010 nosig,18003kt 9999 prec0n CL2 CM0 08 07 q1011 23005kt 9999 few036 09 08 q1010 nosig 4000 shra sct025tcu sct006
2021-11-03 11:00:00,19003KT 140V240 0800 R19/P2000 R01/1200U FG BKN002 09/09 Q1015 TEMPO 3000 SHRA SCT025TCU,vrb02kt 9999 sct014 bkn035 14 12 q1014 nosig,33007kt 9999 prec0n CL6 CM0 12 07 q1014 vrb02kt 9999 sct014 bkn035 14 12 q1014 nosig q1014 nosig q1020
2020-09-05 06:00:00,VRB01KT CAVOK 16/15 Q1020 NOSIG,04003kt cavok 13 12 q1021 nosig,03003kt 9999 prec0n CL0 CM0 13 11 q1021 04003kt cavok 13 12 q1021 nosig q1020 nosig tempo bkn005 13
2019-03-14 20:00:00,36010KT CAVOK 10/05 Q1031 NOSIG,35010kt 320v020 9999 sct029 bkn040 09 07 q1034 nosig,29007kt 9999 prec0n CL0 CM0 08 07 q1034 35010kt 320v020 9999 sct029 bkn040 09 07 q1034 nosig q1033 nosig
2022-07-15 19:00:00,28004KT 240V300 CAVOK 24/20 Q1015 NOSIG,vrb01kt cavok 24 19 q1016 nosig,30005kt 9999 prec0n CL0 CM0 22 16 q1016 vrb01kt cavok 24 19 q1016 nosig q1015 nosig 0800 bcfg bkn004
2020-03-21 04:00:00,20003KT 160V230 0300 R19/P2000 R01/1400N BCFG VV001 11/11 Q1009 TEMPO 3000 SHRA SCT030TCU,vrb02kt 9999 few045 10 09 q1008 nosig,30003kt 9999 prec0n CL5 CM5 10 09 q1008 vrb02kt 9999 few045 10 09 q1008 nosig shra bkn012 ovc022 10
2018-09-04 13:00:00,03003KT 280V140 CAVOK 21/17 Q1013 TEMPO TSRA,vrb02kt cavok 24 19 q1014 nosig,28009kt 9999 prec0n CL0 CM0 24 16 q1013 vrb02kt cavok 24 19 q1014 nosig nosig nosig 1400 bcfg bkn005
2022-02-05 04:00:00,03007KT CAVOK 07/07 Q1027 NOSIG,02006kt 350v050 cavok 09 05 q1027 nosig,01011kt 9999 prec0n CL0 CM0 08 05 q1028 02006kt 350v050 cavok 09 05 q1027 nosig q1027 01 02 q1025
2020-01-20 14:00:00,07012G25KT 010V140 9999 FEW030 11/M03 Q1027 NOSIG,22003kt 190v310 cavok 09 02 q1029 nosig,05025kt 9999 prec0n CL0 CM0 08 01 q1029 22003kt 190v310 cavok 09 02 q1029 nosig q1024 02 q1006 r19
2020-09-15 09:00:00,20009KT 140V230 9999 SCT023 20/16 Q1021 NOSIG,18007kt 100v220 2000 bcfg dz bkn003 bkn008 18 18 q1021 nosig,16009kt 9999 prec0n CL4 CM0 18 16 q1020 18007kt 100v220 2000 bcfg dz bkn003 bkn008 18 18 q1021 nosig
2022-10-30 12:00:00,20006KT 110V240 9999 FEW015 18/13 Q1020 NOSIG,21006kt cavok 20 14 q1019 nosig,17007kt 9999 prec0n CL0 CM0 15 11 q1019 21006kt cavok 20 14 q1019 nosig q1020 nosig 2000 bcfg bkn003
2018-04-15 01:00:00,19012KT 120V220 0300 R19/1700U R01/0450D FG VV001 09/09 Q1016 NOSIG,18008kt 100v230 9999 few006 11 11 q1017 nosig,17009kt 9999 prec0n CL7 CM4 09 09 q1017 18008kt 100v230 9999 few006 11 11 q1017 nosig q1017 nosig tempo
2020-06-09 06:00:00,03003KT 340V090 CAVOK 11/08 Q1021 NOSIG,vrb02kt cavok 09 08 q1021 nosig,03003kt 9999 prec0n CL0 CM0 09 07 q1021 vrb02kt cavok 09 08 q1021 nosig q1021 nosig q1030 3000 ra
2018-02-09 14:00:00,36012KT 9999 -DZ SCT015 SCT020 BKN035 09/07 Q1024 NOSIG,01009kt 330v070 9999 bkn040 11 06 q1024 nosig,01015kt 9999 prec0n CL2 CM0 11 05 q1025 01009kt 330v070 9999 bkn040 11 06 q1024 nosig q1025 7000 ra
2021-06-18 09:00:00,VRB05KT 8000 RA SCT031 BKN042 15/13 Q1014 NOSIG,01012kt 340v040 9999 few017 18 12 q1013 nosig,01013kt 9999 prec0n CL3 CM0 17 12 q1013 01012kt 340v040 9999 few017 18 12 q1013 nosig q1016 nosig 2000
2019-03-12 02:00:00,00000KT CAVOK 07/07 Q1028 NOSIG,24006kt cavok 10 08 q1029 nosig,27001kt 9999 prec0n CL0 CM0 08 06 q1029 24006kt cavok 10 08 q1029 nosig q1027 nosig q1030 nosig q1024
2022-10-29 19:00:00,19006KT 150V220 CAVOK 15/14 Q1017 TEMPO 3000 RA,20006kt 160v230 9000 dz sct016 bkn022 bkn047 15 15 q1019 nosig,18003kt 9999 prec0n CL6 CM0 14 14 q1018 20006kt 160v230 9000 dz sct016 bkn022 bkn047 15 15 q1019 nosig
2018-12-27 04:00:00,21005KT 170V250 9999 OVC045 11/07 Q1026 NOSIG,18009kt 9999 few026 11 08 q1026 nosig,16009kt 8000 prec0y CL6 CM2 10 07 q1027 18009kt 9999 few026 11 08 q1026 nosig q1027 nosig 09 09
2019-02-27 01:00:00,23006KT CAVOK 13/05 Q1023 NOSIG,23005kt cavok 12 08 q1023 nosig,16003kt 9999 prec0n CL0 CM0 10 07 q1024 23005kt cavok 12 08 q1023 nosig q1023 nosig bkn010 bkn018 0650n
2019-01-12 11:00:00,21006KT 170V230 CAVOK 05/01 Q1032 NOSIG,23004kt 190v270 cavok 07 02 q1032 nosig,15005kt 9999 prec0n CL0 CM0 08 02 q1034 23004kt 190v270 cavok 07 02 q1032 nosig nosig 7000 ra sct003
2020-10-08 03:00:00,VRB01KT CAVOK 14/13 Q1022 NOSIG,vrb01kt cavok 16 14 q1022 nosig,15001kt 9999 prec0n CL0 CM0 13 12 q1022 vrb01kt cavok 16 14 q1022 nosig q1022 tempo 3000 ra br
2018-07-26 13:00:00,28010KT 250V330 9999 SCT025 23/17 Q1016 NOSIG,28010kt 240v310 9999 few035 22 15 q1017 nosig,28011kt 9999 prec0n CL0 CM0 22 15 q1017 28010kt 240v310 9999 few035 22 15 q1017 nosig nosig 1000 ra
2019-02-05 10:00:00,21006KT 9999 BKN030 10/07 Q1030 NOSIG,22006kt cavok 09 08 q1030 nosig,16005kt 9999 prec0n CL0 CM0 09 07 q1031 22006kt cavok 09 08 q1030 nosig q1029 nosig q1029 nosig q1026
2020-09-03 13:00:00,05003KT 010V130 CAVOK 30/16 Q1020 NOSIG,vrb03kt cavok 31 13 q1021 q1021 nosig,28005kt 9999 prec0n CL0 CM0 28 16 q1021 vrb03kt cavok 31 13 q1021 q1021 nosig nosig tempo sct015 bkn015
2019-05-16 01:00:00,VRB02KT 6000 BCFG SCT005 BKN010 13/11 Q1014 TEMPO 1500 BCFG BKN005,27004kt 230v310 1400 0800n r19 1900n r01 p2000 bcfg bkn003 bkn005,29007kt 500 prec0n CL4 CM0 11 11 q1015 27004kt 230v310 1400 0800n r19 1900n r01 p2000 bcfg bkn003 bkn005
2021-05-15 14:00:00,24014KT 200V270 3000 -RA BR BKN002 OVC007 16/15 Q1016 NOSIG,22010kt 190v250 9999 few006 sct011 bkn018 15 14 q1017 tempo 3000,23011kt 9999 prec0n CL6 CM2 16 14 q1016 22010kt 190v250 9999 few006 sct011 bkn018 15 14 q1017 tempo 3000
2021-10-29 08:00:00,23004KT 0800 R19/1900N R01/1800D SHRA FG SCT002 SCT029TCU BKN035 13/13 Q1009 TEMPO 3000 -RA,23003kt 170v260 7000 bkn003 bkn009 13 13 q1008 tempo 3000 ra,26001kt 9999 prec0n CL2 CM2 13 12 q1009 23003kt 170v260 7000 bkn003 bkn009 13 13 q1008 tempo 3000 ra
2022-02-11 16:00:00,28009KT 240V320 9999 BKN036 13/10 Q1025 NOSIG,35002kt cavok 13 09 q1026 nosig,31005kt 9999 prec0n CL0 CM0 13 08 q1027 35002kt cavok 13 09 q1026 nosig q1027 nosig q1026 02 q1025
2018-07-10 03:00:00,VRB01KT CAVOK 20/18 Q1018 NOSIG,00000kt cavok 20 16 q1019 nosig,15003kt 9999 prec0n CL0 CM0 16 15 q1019 00000kt cavok 20 16 q1019 nosig q1020 nosig 0800 r19 p2000
2018-07-23 16:00:00,VRB04KT 9999 FEW030 24/17 Q1015 NOSIG,24007kt 210v320 cavok 23 17 q1016 nosig,26005kt 9999 prec0n CL0 CM0 24 17 q1016 24007kt 210v320 cavok 23 17 q1016 nosig q1015 nosig 1400 r19
2018-10-15 18:00:00,21001KT 3500 -RA BR FEW002 SCT007 BKN018 15/15 Q1009 NOSIG,07003kt 030v110 cavok 19 17 q1008 nosig,29007kt 9999 prec0n CL4 CM0 16 15 q1007 07003kt 030v110 cavok 19 17 q1008 nosig q1009 nosig 2000 shra
2022-05-05 03:00:00,VRB01KT CAVOK 11/08 Q1020 NOSIG,18009kt 9999 bcfg few033 sct044 bkn050 10 08 q1019 tempo 3000,17007kt 9999 prec0n CL0 CM0 10 07 q1020 18009kt 9999 bcfg few033 sct044 bkn050 10 08 q1019 tempo 3000
2022-04-16 17:00:00,27011KT CAVOK 16/12 Q1022 NOSIG,27011kt 240v310 9999 few025 17 12 q1023 nosig,28011kt 9999 prec0n CL0 CM0 15 11 q1023 27011kt 240v310 9999 few025 17 12 q1023 nosig q1023 nosig fg
2020-06-20 07:00:00,20004KT 140V230 9999 SCT026 16/13 Q1023 NOSIG,vrb02kt cavok 15 12 q1023 nosig,16005kt 9999 prec0n CL0 CM0 13 11 q1023 vrb02kt cavok 15 12 q1023 nosig q1020 nosig tempo 0900 fg
2021-08-16 22:00:00,04009KT 350V100 CAVOK 18/13 Q1024 NOSIG,36007kt cavok 17 12 q1023 nosig,02009kt 9999 prec0n CL0 CM0 17 12 q1025 36007kt cavok 17 12 q1023 nosig q1021 nosig 14 0300 r19
2019-03-06 16:00:00,29009G24KT 200V350 9000 BKN020 BKN030 OVC046 10/07 Q1005 RERA TEMPO 3000 RA BKN010,03006kt 340v080 9999 sct014 bkn021 09 08 q1005 tempo 3000 shra,31013kt 2000 prec0y CL0 CM0 09 08 q1005 03006kt 340v080 9999 sct014 bkn021 09 08 q1005 tempo 3000 shra
2018-11-20 20:00:00,23003KT 200V260 9999 FEW023 09/08 Q1003 NOSIG,26003kt 230v290 1400 r01 1100u r01 0300d bcfg few001 09 09,22003kt 9999 prec0n CL0 CM1 10 09 q1003 26003kt 230v290 1400 r01 1100u r01 0300d bcfg few001 09 09
2019-01-27 06:00:00,32010KT 270V340 3000 RA BR SCT024 BKN039 BKN050 07/05 Q1020 NOSIG,30007kt 260v350 9999 sct034 bkn040 08 06 q1020 nosig,31013kt 9999 prec0n CL3 CM0 08 05 q1021 30007kt 260v350 9999 sct034 bkn040 08 06 q1020 nosig q1030 nosig
2018-01-23 14:00:00,VRB02KT 9999 FEW015 BKN036 14/10 Q1029 NOSIG,vrb01kt 9999 sct015 bkn020 13 11 q1030 nosig,19003kt 9999 prec0n CL3 CM0 13 10 q1030 vrb01kt 9999 sct015 bkn020 13 11 q1030 nosig q1029 fg bkn005
2022-05-28 07:00:00,22008KT 190V250 CAVOK 20/12 Q1013 NOSIG,23004kt cavok 20 16 q1014 nosig,15003kt 9999 prec0n CL0 CM0 18 12 q1014 23004kt cavok 20 16 q1014 nosig q1016 nosig 0500 r19 1200d
2019-08-09 18:00:00,24009KT 220V280 9999 SCT023 SCT029 BKN044 19/15 Q1018 NOSIG,25007kt 220v290 9999 sct006 bkn010 ovc020 18 17 q1019 tempo 3000,23007kt 9999 prec0n CL1 CM0 18 15 q1018 25007kt 220v290 9999 sct006 bkn010 ovc020 18 17 q1019 tempo 3000
2019-04-11 07:00:00,VRB02KT CAVOK 07/06 Q1022 NOSIG,vrb01kt cavok 08 07 q1022 nosig,16001kt 9999 prec0n CL0 CM0 07 06 q1022 vrb01kt cavok 08 07 q1022 nosig q1023 nosig 09 2000 bcfg
2021-06-01 20:00:00,27007KT 230V310 9999 SCT024 BKN032 15/12 Q1013 NOSIG,24006kt 200v280 9000 nsc 15 12 q1013 nosig,27007kt 9999 prec0n CL0 CM0 13 12 q1013 24006kt 200v280 9000 nsc 15 12 q1013 nosig q1013 200v290 tempo
2019-04-25 22:00:00,28007KT 230V330 9999 BKN014 BKN021 10/08 Q1018 TEMPO 3000 RA,vrb02kt 9000 ra sct010 bkn020 10 09 q1017 tempo 3000 ra,28013kt 9999 prec0y CL5 CM0 10 09 q1018 vrb02kt 9000 ra sct010 bkn020 10 09 q1017 tempo 3000 ra
2018-11-24 02:00:00,VRB02KT 6000 RA FEW032 BKN039 BKN048 09/08 Q1013 TEMPO 0350 FG RA VV001,18005kt 140v230 4000 ra bcfg sct009 bkn015 bkn021 09 09 q1012,17007kt 9999 prec0n CL5 CM3 09 08 q1014 18005kt 140v230 4000 ra bcfg sct009 bkn015 bkn021 09 09 q1012
2021-08-18 22:00:00,01009KT CAVOK 18/12 Q1017 NOSIG,03007kt 350v060 cavok 17 12 q1018 nosig,01009kt 9999 prec0n CL0 CM0 17 12 q1018 03007kt 350v060 cavok 17 12 q1018 nosig q1019 nosig 2000 bcfg
2021-07-08 12:00:00,VRB06KT CAVOK 23/13 Q1025 NOSIG,vrb03kt cavok 23 12 q1024 nosig,32005kt 9999 prec0n CL0 CM0 23 13 q1025 vrb03kt cavok 23 12 q1024 nosig q1024 nosig 16007kt few003 sct001
2022-09-27 13:00:00,01009KT 340V110 9999 SCT040 20/12 Q1022 NOSIG,35008kt 290v060 9999 few040 21 13 q1021 nosig,31009kt 9999 prec0n CL0 CM0 19 13 q1021 35008kt 290v060 9999 few040 21 13 q1021 nosig nosig 0300 r19
2022-08-17 20:00:00,02012KT 330V080 CAVOK 18/11 Q1019 NOSIG,01013kt 340v060 cavok 16 11 q1018 nosig,36013kt 9999 prec0n CL0 CM0 15 12 q1020 01013kt 340v060 cavok 16 11 q1018 nosig 2000 bcfg bkn003 ovc015
2021-01-10 12:00:00,06015G29KT 360V100 9999 FEW030 09/M01 Q1018 NOSIG,05014g24kt 350v100 9999 sct040 08 05 q1020 nosig,02017kt 9999 prec0n CL0 CM0 08 02 q1020 05014g24kt 350v100 9999 sct040 08 05 q1020 nosig q1020 nosig tempo
2019-07-15 02:00:00,VRB02KT 2500 BR FEW002 17/17 Q1015 TEMPO 0350 FG VV001,vrb02kt 0300 r19 0300n r01 0500n fg vv001 16 16 q1015,35003kt 9999 prec0n CL0 CM0 14 14 q1015 vrb02kt 0300 r19 0300n r01 0500n fg vv001 16 16 q1015
2021-11-20 10:00:00,24004KT 200V280 CAVOK 12/07 Q1021 NOSIG,vrb02kt cavok 12 06 q1020 nosig,16005kt 9999 prec0n CL0 CM0 11 06 q1021 vrb02kt cavok 12 06 q1020 nosig q1021 q1030 nosig q1024 nosig
2019-12-10 07:00:00,21005KT 8000 BCFG NSC 04/04 Q1029 NOSIG,23006kt cavok 06 03 q1029 nosig,17003kt 9999 prec0n CL0 CM0 07 03 q1030 23006kt cavok 06 03 q1029 nosig q1029 nosig q1026 01 q1026
2022-07-24 19:00:00,29008KT 260V320 9999 SCT014 18/15 Q1020 TEMPO BKN010,29013kt 9999 few019 19 16 q1020 nosig,29011kt 9999 prec0n CL0 CM0 17 15 q1021 29013kt 9999 few019 19 16 q1020 nosig q1020 nosig 2000 ra
2021-09-04 12:00:00,VRB03KT CAVOK 22/15 Q1016 NOSIG,25006kt 220v300 cavok 24 14 q1015 nosig,28005kt 9999 prec0n CL0 CM0 23 14 q1015 25006kt 220v300 cavok 24 14 q1015 nosig nosig nosig 2000 bcfg
2022-09-26 11:00:00,05006KT 340V130 9999 FEW030 20/12 Q1020 NOSIG,07004kt 360v120 cavok 19 12 q1019 nosig,01007kt 9999 prec0n CL0 CM0 19 11 q1019 07004kt 360v120 cavok 19 12 q1019 nosig nosig 0200 r19 0650d
2019-06-23 16:00:00,27007KT 230V320 9999 FEW025 20/15 Q1013 NOSIG,23005kt 190v300 cavok 19 11 q1013 nosig,26009kt 9999 prec0n CL0 CM0 20 11 q1013 23005kt 190v300 cavok 19 11 q1013 nosig 3000 br bkn010 bkn030
2022-10-01 21:00:00,36005KT CAVOK 16/14 Q1026 NOSIG,34003kt cavok 15 14 q1026 nosig,36005kt 9999 prec0n CL0 CM0 13 13 q1027 34003kt cavok 15 14 q1026 nosig q1025 nosig 2000 ra bcfg
2020-05-19 07:00:00,20006KT 160V230 CAVOK 15/11 Q1021 NOSIG,vrb01kt cavok 15 10 q1022 nosig,17003kt 9999 prec0n CL0 CM0 13 10 q1022 vrb01kt cavok 15 10 q1022 nosig q1023 nosig 14 22003kt q1019
2018-04-21 14:00:00,26006KT 220V290 9999 FEW030 24/11 Q1015 NOSIG,27004g18kt 320v040 9999 sct036 sct035 21 13 q1019 nosig,22005kt 9999 prec0n CL4 CM5 23 13 q1019 27004g18kt 320v040 9999 sct036 sct035 21 13 q1019 nosig 0800 fg
2019-11-07 08:00:00,30003KT 240V340 9999 SCT025 10/06 Q1015 NOSIG,31006g19kt 250v030 9999 sct023tcu sct033 10 05 q1015 nosig,29009kt 9999 prec0n CL1 CM0 09 07 q1016 31006g19kt 250v030 9999 sct023tcu sct033 10 05 q1015 nosig tempo nsw
2019-08-19 22:00:00,02011G23KT 340V060 CAVOK 17/11 Q1020 NOSIG,36015kt cavok 16 11 q1020 nosig,01013kt 9999 prec0n CL0 CM0 15 12 q1021 36015kt cavok 16 11 q1020 nosig q1019 nosig bkn012 14 14
